[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 123) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 123) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 123) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 123) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 123) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 456) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 456) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 456) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 456) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 456) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 789) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 789) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 789) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 789) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'huber', 789) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 123) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 123) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 123) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 123) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 123) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 456) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 456) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 456) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 456) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 456) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 789) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 789) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 789) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 789) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(32, 0.1, 0.0003, 'mse', 789) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 123) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 123) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 123) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 123) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 123) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 456) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 456) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 456) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 456) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 456) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 789) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 789) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 789) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 789) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(32, 0.1, 0.001, 'huber', 789) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 123) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 123) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 123) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 123) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 123) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 456) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 456) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 456) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 456) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 456) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 789) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 789) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 789) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 789) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(32, 0.1, 0.001, 'mse', 789) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 123) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 123) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 123) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 123) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 123) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 456) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 456) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 456) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 456) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 456) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 789) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 789) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 789) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 789) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'huber', 789) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 123) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 123) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 123) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 123) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 123) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 456) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 456) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 456) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 456) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 456) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 789) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 789) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 789) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 789) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(64, 0.0, 0.0003, 'mse', 789) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 123) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 123) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 123) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 123) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 123) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 456) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 456) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 456) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 456) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 456) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 789) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 789) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 789) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 789) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(64, 0.0, 0.001, 'huber', 789) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 123) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 123) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 123) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 123) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 123) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 456) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 456) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 456) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 456) fold=4/5 train=2248 heldout=785
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 456) fold=5/5 train=2525 heldout=508
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 789) fold=1/5 train=2780 heldout=253
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 789) fold=2/5 train=2367 heldout=666
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 789) fold=3/5 train=2212 heldout=821
[AUTO-CV] cfg=(64, 0.0, 0.001, 'mse', 789) fold=4/5 train=2248 heldout=785
